 Blood Bank Name, State, District, City, Address,Pincode, Contact No, Email, Latitude, Longitude
MVJ Medical College and Research Hospital Blood Bank,Karnataka,BENGALURU RURAL,Hosakote,"Dandupalya, Kolathur Post, NH-4",560164,080 27931473,,13.077457,77.811502
BGS Global Hospitals Blood Bank,Karnataka,BENGALURU RURAL,Kengeri,"No. 67, Uttarahalli Road",560060,080 26255555,,12.911276,77.486216
Harsha Hospital Blood Bank,Karnataka,BENGALURU RURAL,Nelamangala,"No. 193/4, Byraveshwaranagar, Sondekoppa Circle, N.H.4, Bengaluru.",562123,080 27723695 (Not in use),,13.097983,77.38581
Narayana Hrudayalaya Blood Bank,Karnataka,BENGALURU URBAN,Anekal Taluk,"University Medical Centre, (KMC) Hospital",560099,080 27835000 ,,12.80927,77.695173
Government Haji Sir Ismail Sait Gosha Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bangalore,"Near KSPCB Limited, Tasker Town, Shivaji Nagar",560051,080 2286 6529,,12.987532,77.604913
Swamy Vivekananda Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bangalore,"No.20,3rd Floor, SGRR Complex, 1st Cross, Raja Ram Mohan Roy Road, S. R. Nagar",560027,080 22224044,vivekanandabloodbank@gmail.com,12.9649846,77.589012
M/s. Aster CMI Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bangalore,"43/2, Bellary Rd,NH-4,Sahakar Nagar, Hebbal",560092,080 43420213,info@asterbangalore.com,13.054677,77.592504
M/s. East Point Hospital Blood Bank Virgonagar,Karnataka,BENGALURU URBAN,Bangalore,"East Point college of Medical Sciences&Hospital, Janana Prabha Campus, Bidarahalli",560049,080 25136246,,13.053662,77.717912
Unique Blood Bank & Diagnostic Centre,Karnataka,BENGALURU URBAN,Bangalore,"1st floor,S.L.N.Complex, City Market Square",560002,080 2600685,uniquebb92@gmail.com,12.965837,77.576262
SHUSHRUTHA VOLUNTARY BLOOD BANK,Karnataka,BENGALURU URBAN,Bangalore,"The Blood Bank Medical officer
Sushrutha Voluntary Blood Bank,
No:875,Modi Hospital Road,  Near Pristine Hospital",560 086,080 23230777,,12.9978842,77.5411603
Bengaluru Blood Bank and Diagnostic Laboratory,Karnataka,BENGALURU URBAN,Bengaluru,"Between 6th and 7th Cross, Opposite R.R.Gold Palace, Sampige Road,Malleshwaram",500003,080 23347714,,12.998074,77.571614
Bengaluru Rotary TTK Medical Service Trust Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"New Thippasandra Main Road, HAL III Stage",560075,080 25293486/ 9900153000/ 9900163000,,12.99807,77.580434
KIMS Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"K. R. Road, Visveswarapuram,Near Makkala Koota Bus Stop",560004,080 26613225,,12.956353,77.574114
Bangalore Baptist Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Bellary Road, Hebbal",560024,080 22024700,,13.035289,77.589935
Sanjaya Gandhi Accident Hospital and Research Institute Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Jayanagar East, Byrasandra",560011,080 26564516,,12.935769,77.593859
Victoria Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Fort Road, Bengaluru",560002,080 26700001,,12.963399,77.573818
M. S. Ramaiah Medical Teaching Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Gokul Extension,560054,080 22183100,,13.030487,77.566648
Saint Martha&#39,s Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Nrupatunga Road,560001,,30-11-2016,12.970679
Kidwai Memorial Institute of Oncology Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Dr. M.H.Marigowda  Road,560029,080 26094082,,12.93759,77.598537
Transfusion Medicine Centre Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,NIMHANS Hosur Road,560029,"080 26995435, 080 26995436, 080 26995437",,12.94039,77.59883
St. John&#39,s Medical College Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Sarjapur Road, Bengaluru",,,31.12.2011 (Pending),12.929482
Mallya Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.2, Vittal Mallya Road",560001,080 22277979,,,12.968063
Hindustan Aeronautics Limited - HAL Hospital Blood Bank ,Karnataka,BENGALURU URBAN,Bengaluru,"Suranjandas Road, Near HAL Airport, Vimanapura",560017,080 22314632   ,,12.962447,77.665284
Saint Philomena Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.1, Nilsandra Road",560047,080 40164348 ,,12.965428,77.610476
K. C. General Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Malleshwaram,560003,080 23343791,,12.996389,77.56931
Command Hospital Blood Bank Air Force,Karnataka,BENGALURU URBAN,Bengaluru,"Old Airport Road, Near Cambridge Layout, Domlur Village, Post Agram",560007,080 25234632,,12.963321,77.62882
E.S.I.Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Rajajinagar,560010,080 23013808,,12.990775,77.553498
Rashtrotthana Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"93/2 Keshava Shilpa 1st Mn Road, Kempegowda Nagar ",560019,080 26610916,,12.954814,77.565362
Dr. B. R.Ambedkar Medical College Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"K.G.Halli, Bengaluru",560045,080 25463442,,13.025275,77.614217
Hosmat Hospital Unit of Phisicare Services Private Limited Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.45, Magrath Road, Off. Richmond Road",560023,080 25593796,,12.969035,77.61346
Grace Blood Bank and Laboratory,Karnataka,BENGALURU URBAN,Bengaluru,"2, 10th Cross, Ganganagar, Bengaluru",560032,080 23431233 ,,13.026155,77.588859
Sri Sathya Sai Institute of Higher Medical Sciences Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"EPIP Area, Whitefield",560066,"080 28411500, 080 28004600 ",,12.981135,77.729224
Navarang Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.2953, Ist Floor, Near Navarang Circle, M.K.K.Road, 
Rajaji Nagar, ",560010,080 23521233 ,,12.9982,77.551623
Bangalore Lions Service Trust - Lions Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Bhagwan Mahaveer Jain Hospital, Millers Road, Vasantha Nagar",560052,080 22266807,,12.989645,77.592754
Sri Jayadeva Institute of Cardiology Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Gurappanapaly Post, Banneraghatta Road",560069,080 22977213,,12.917957,77.599329
Vydehi Institute of Medical Science Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"EPIP AREA, 06 WHITE FIELD",560066,080 28410874 ,,12.975378,77.72927
Akshay Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No. 968, 2nd Floor, 41st Cross, 3rd Block. Opposite E.S.I. Hospital, Rajajinagar",560070,080 23147303,,12.989853,77.552805
Bowring and Lady Curzon Hospitals Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Shivaji Nagar, Bengaluru",560051,080 25591362,,12.982165,77.604276
Kempegowda Medical Service Trust - Millennium Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.1082/9, Sreenivasa Prasanna Complex, Triveni Road, Yeshwanthpur, Bengaluru",560022,080 23571001,,13.019584,77.557981
S. K. Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"14/1,I Floor, MESA Complex, Old Tolgate Bus Stop, 
Magadi Main Road",560023,080 23103524 ,,12.974445,77.549288
Indira Gandhi Child Institute of Health Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"South Hospital Complex, Dharamaram College Post",560029,080 22443143,,12.937319,77.592016
Rajarajeshwari Medical College Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"5th Cross, Mysore Road, New Guddadahalli",560074,080 65666768 ,,12.896508,77.46166
Sanjeevini Trust Jayanagar Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"1897/A, Cellar Floor, Gulora, 26th Main Road, Sount End Cross Road, 9th Block, Jayanagar",560069,080 26494748 ,,12.9157415,77.5909561
Sri Vinayaka Charitable Trust  Jeeva Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No. 23 and 84, Sharoff Basappa Commercial Complex, 2nd Main, Ist Cross, New Tharugpet",560002,080 25990583,,12.961633,77.571067
Indian Red Cross Society - Karnataka Red Cross Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Red Cross Bhavan, 326, Ist Floor, Race Course Road, Bengaluru",560001,080 22268435,,12.984218,77.578831
Apollo Hospitals (Imperial Cancer Hospital and Research Centre) Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Apollo Hospitals a unit of Imperial Cancer Hospital and Research Centre Limited, 154/11, Opp.I.I.M Bannerghatta Road",560076,080 26304050 / 51,,12.89643,77.598015
Vijayanagar Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No. 27, 17th Cross, M.C. Layout, Vijayanagar",560040,080 23358800,vijayanagarabloodbank@gmail.com,12.969227,77.536519
Bangalore Institute of Oncology Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No. 8, P. Kalinga Rao Road, Sampangiram Nagar",560027,080 40206121,,12.964273,77.589629
Ocean Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No. 133-134, K. P. Broadway Road, Shivajinagar",560051,080 25552199,,12.982018,77.604484
Rotary K. R. Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru," No. 75, Hanumanthanagar, 50 Feet Road, Bengaluru ",560050,080 28437393,,12.941937,77.553588
Veerayoga Institute of Medical Sciences Speciality Hospitals Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"VIMS, No. 88, Marathhalli, Outer Ring Road",560037,080 4269800,,12.948331,77.699554
Columbia Asia Referral Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"26/4, Brigade Gateway, Beside Metro Cash and Carry West West, Malleshwaram,",560055,080 39898968,,13.014167,77.556035
Sagar Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Sy. No.53, Shavige Malleshwara Hills, Kumar Swamy Layout, Banashankari",560078,080 42999177  ,,12.907709,77.565114
Fortis Hospital Private Limited Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Bannerghatta Road,560076,080 66214055 ,,12.89453,77.598902
Fortis Hospital Private Limited Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"14, Sheriffs Centre,Cunningham Road",560052,"080 41994515, 080 22261037",,12.988216,77.594232
Sagar Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru," 44/54, 30th Cross, Tilak Nagar, Jayangar Extension",560041,080 26536712 ,,12.928003,77.599598
Manipal Hospital Transfusion Services Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.98, Rustombagh, HAL Airport Road",560017,080 25024357,bloodbank@manipalhospitals.com,12.958758,77.6491
Yashomathi Medicare and Research Centre Private Limited Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"2371/3, HAL Airport, Varthur Main Road, Munne Kolala, Marathahalli Post",560037,080 43221019,,12.955719,77.711256
Life Care Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru," No.126, 7th Block, Jayanagar, Opposite to Jayanagar Police Station",560011,080 22446923,,12.92837,77.581654
The Oxford Medical College Hospital Blood Bank and Research Centre,Karnataka,BENGALURU URBAN,Bengaluru," Yadavanahalli, Attibele (Hobli), Anekal Taluk",562107,8030847115,bloodbanktomch@gmail.com,12.787186,77.756942
Sakra World Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Sakra world Hospital (A Unit of Takshasila Hospitals Operating Private Limited), S.No. 52/2 and 52/3, Devarabeesanahalli, Varthur Hobli, Bellandur Post",560103,080 49694916 ,,12.932125,77.685263
Dr.Rajkumar (Appaji) Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru," No.18, Krishi Bhavan, 2nd Floor, Hudson Circle",560001,080 22108108,,12.967558,77.589363
Sri Shankara Cancer Hospital and Research Centre Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Shankara Math premises, 1st cross, shankarapuram, Basavanagudi",560004,080 26981101,,12.954575,77.571128
Mediscope Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Mediscope Hospital, No.11, Pillanna Garden, 3rd stage",560045,080 25466554  ,,12.999478,77.616872
Sapthagiri Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.15, Chikkasandra, Hesaraghatta Main Road",560090,080 22791638,,13.070573,77.50228
The District Surgeon District Hospital Blood Bank,Karnataka,BIDAR,Bidar,,585401,08482 220744,,17.918098,77.515003
District Hospital Blood Bank Bijapur,Karnataka,Bijapur,Bijapur,Athani Road,586102,08352 270108,,16.828098,75.691713
B.L.D.E. Association&#39,s Medical College & Reserch Centre Blood Bank,Karnataka,Bijapur,Bijapur,"Mahal Bagayat,Ashram Road",586103,08352 263019.,Pending,16.845101
Lions Blood Bank,Karnataka,Bijapur,Bijapur,"Bandikaman Road, Ward No.6, CTS No.168, Basement Ground and First Floor",586101,08352 22200050  ,,16.827207,75.725839
Dr. B. N. M. Rural Ayurvedic Medical College and Hospital Blood Bank,Karnataka,Bijapur,Bijapur,"Smt. Sushiladevi Nagur Colony, College Road",586101,0835 2655760,,16.8301759,75.7078424
Al-Ameen Medical College Hospital Blood Bank,Karnataka,Bijapur,Bijapur,"Athani Road, Bihapurkar",586101,08352 270113,,16.825058,75.669209
GMETS Dr. Goudars Blood Bank,Karnataka,Bijapur,Bijapur,"852, A1 and A2 Ward IX, 1st Floor, Dr. Karigoudar&#39;s Complex Godbolemala",586101,08352 253604,,16.828072,75.709979
District Hospital Blood Bank Chamarajanagar,Karnataka,CHAMARAJANAGAR,Chamarajanagar,District Hospital,577101,08226 222067,,11.926773,76.941473
Holy Cross Hospital Blood Bank,Karnataka,CHAMARAJANAGAR,Kollegal,"Kamagere , Kolegala Taluk, Chamaraja Nagar",571443,08226 263116  ,,12.12938,77.233586
Indian Red Cross Society Blood Bank Chikkaballapur,Karnataka,Chikkaballapur,Chikkaballapur,"District Family Welfare Office, 2nd Floor, B. B. Road",561207,08156 272118,,13.438043,77.72929
Mallegowda District Hospital Blood Bank,Karnataka,CHIKKAMAGALURU,Chikkamagaluru,Chikkamagaluru,577101,08262 238083,,13.218016,75.251826
Holy Cross Hospital Blood Bank,Karnataka,CHIKKAMAGALURU,Chikkamagaluru,"Housing Board Colony, K. M. Road, Jyothi Nagar",577101,08262 220077 ,,13.338634,75.80355
Sharada Dhanvantari Charitable Hospital Blood Bank,Karnataka,CHIKKAMAGALURU,Sringeri,"S. D. C. Hospital, P.B. No. 13, Vidyaranyapura Village,",577139,0826 220175,,13.428948,75.254286
District Hospital Blood Bank Chitradurga,Karnataka,CHITRADURGA,Chitradurga,B. D. Road Chitradurga,577501,08194 234710,,14.220818,76.4065
SJM Blood Bank Basaveshwara Medical College Hospital and Research Centre,Karnataka,CHITRADURGA,Chitradurga,"NH-4, By Pass, Near KHB Colony",577502,08194 222054 ,,14.239807,76.388943
Vasavi Blood Bank,Karnataka,CHITRADURGA,Chitradurga,"Khata No. 4895/4720, Assessment No. 11479/13, 
B. L. Gowda Layout, Thurunur Road",577501,08194 222666,,14.229572,76.409483
Jyothi Hospital Blood Bank,Karnataka,DAKSHINA KANNADA,Belthangady,"Jyothi Hospital, Laila-574 214, Belthangady",574214,0825 6233939,,12.991208,75.288255
M/s. Indian Red Cross Society Blood Bank,Karnataka,DAKSHINA KANNADA,Kundapur,"1st floor, Govt Hospital Building, Muncipal Road",576201,08254 233111,ircsbloodbankkdpr@gmail.com,13.628482,74.690683
Fr. Mullers Charitable Instituitions Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Post Box No.501, Kankanady",575002,0824 2238126,,12.866805,74.85933
City Hospital Research and Diagnostic Centre Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Pound Garden, Kadri",575003,0824 221790 ,,12.87963,74.853044
The District Surgeon - Wenlock District Hospital Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,Hampanakata,575001,0824 2413205,,12.867384,74.843132
Yenepoya Medical College Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Nithyananda Nagar, Deralakatte",575018,0824 2204668 ,,12.81194,74.881231
A. J. Hospital and Research Centre Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Kuntikana, NH- 66",575004,0824 2225535 ,,12.899478,74.845975
KMC University Medical Centre Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Dr. B. R. Ambedkar Circle, Jyothi",575001,0824 2444590 (Extn. 5059),,12.870434,74.844505
Srinivasa Institute of Medical Sciences and Research Centre Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Mukka,Srinivas Nagar,Surathkal",575021,0824 2474883,,13.021405,74.792037
 M/s. Tejasvini Hospital Lions Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,Kadri Temple Road,575002,0824 2225994,,12.880334,74.853689
Indian Red Cross Society Blood Bank Mangalore,Karnataka,DAKSHINA KANNADA,Mangalore,"Lady Goshen Hospital, Behind Central Market",575001,0824 2423755 ,,12.864857,74.83818
Nitte University Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Justice K. S. Hegde Charitable Hospital, Deralakatte",575018,0824 220447  ,,12.807444,74.888332
M/s. Kanachur Hospital & Research Centre Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Ground Floor, C Block, University Road, Deralakatte",575018,08242 202982,edu@kanachur.com,12.803421,74.898097
Rotary Campco Blood Bank,Karnataka,DAKSHINA KANNADA,Puttur,"Radhakrishna Building, Shree Radhadrishna Mandir Road",574201,0824 234242 ,,12.760706,75.198947
General Hospital Blood Bank Puttur,Karnataka,DAKSHINA KANNADA,Puttur,NA,574102,08251 238258,,12.758344,75.200313
K. V. G Medical College Hospital Blood Bank,Karnataka,DAKSHINA KANNADA,Sullia,Kurinji Bag,574327,0824 230326 ,,12.55332,75.384249
Chigateri District Hospital Blood Bank,Karnataka,DAVANGERE,Chigateri,"Chigateri District Hospital, Chigateri",577004,08192 272085,chigateridh.bb.dvg@gmail.com,14.456165,75.916182
Bapuji Hospital Blood Bank,Karnataka,DAVANGERE,Davangere,C.G. Hospital Road,577001,08192 253850  ,,14.4588202,75.9167473
Davangere Blood Bank,Karnataka,DAVANGERE,Davangere,"358, Mahaveera Complex, II Floor, 8th Main, 8th Cross, P.J. Extension",577002,08192 236655 ,,14.459198,75.915238
Bapuji Educational Association S. S. Institute of Medical Sciences and Research Hospital Blood Bank,Karnataka,DAVANGERE,Davangere,"Jnanashankara, NH-4 Bypass Road, Post Box-1",577003,08192 266016 ,,14.430349,75.942694
Karnataka Hemophillia Society Life Line Blood Bank,Karnataka,DAVANGERE,Davangere,"No.1138, Ring Road, S. Nijalingappa Layout, Behind KSFC Building",577002,08192 231948,,14.457405,75.902533
INDIAN RED CROSS SOCIETY,Karnataka,DAVANGERE,Davangere,Devraj Urs Layout,577006,08192 252550,venkateshd71@gmail.com,14.475314,75.909787
Rotary Club Dharwad Mid Town Charitable Trust - Rotary Blood Bank,Karnataka,DHARWAD,Dharwad,"Lourde&#39;s Hospital, Kalageri Road",500008,0836 2746123,,15.46373,74.969829
District Hospital Blood Bank Dharwad,Karnataka,DHARWAD,Dharwad,Fort Road,580001,0836 2747747,,15.46473,75.010366
SDM College of Medical Sciences and Hospital Blood Bank,Karnataka,DHARWAD,Dharwad,"First Floor B Wing Building, Sattur",580009,0836 2477262,,15.417904,75.050162
Karnataka Medical College Hospital Blood Bank,Karnataka,DHARWAD,Hubli,"III Floor, # 306 ",580022,080 2272908,,15.3669,75.128266
M. R. Diagnostic Research Centre and Blood Bank,Karnataka,DHARWAD,Hubli,"Ground Floor, Eureka Towers, Traffic Island",580029,0836 2253450  ,,15.364705,75.123954
The Karnataka Cancer Therapy and Research Institute Smt. Valbai N. Dharamsey Blood Bank,Karnataka,DHARWAD,Hubli,Navanagar ,580025,0836 2228217 ,,15.36472,75.123954
Jeevanavar Blood Bank,Karnataka,DHARWAD,Hubli,"CTS No.104,11/15-B, Municipal No.20922/17-A, 
K.H.Jituri Hospital, Complex, II Floor, Gokul Road",580021,0836 2278320 ,,15.353643,75.130587
Hubli Lions Blood Bank,Karnataka,DHARWAD,Hubli,"CTS No. 440, Ward No.1, Groud Floor, Vivekananda General Hospital Compound, Deshpande Nagar, Hubli",580029,0836 2258080 ,,15.354562,75.135566
Sha Damji Jadavji Chheda Memorial Rashtrotthana Blood Bank,Karnataka,DHARWAD,Hubli,"2nd Floor Dee Jay building, Neeligin Road",581107,0836 2358838,,15.3534025,75.1348707
Life Line 24x7 Blood Bank,Karnataka,DHARWAD,Hubli,Opposite to New Bus Stand Airport Road,581107,0836 2330000,,15.35144,75.117758
M/s. Suchirayu Healthcare Limited Blood Bank,Karnataka,DHARWAD,Hubli,"Sy.No:28/8-11,M.Timmasagara, Jalavi Garden, Off Gokul Road",580030,0836 2239000,,15.3526453,75.1155103
IMA Blood Bank,Karnataka,GADAG,Gadag,"Zendha Circle, Station Road",582101,08372 253955 ,,15.436162,75.637616
Gadag Institute of Medical Sciences & District Hospital Blood Bank,Karnataka,GADAG,Gadag,"Gadag Institute of Medical Sciences, Mallasamudra",582103,08372 297214,bloodbankgims@gmail.com,15.380961,75.600802
Sri. Chamarajendra District Hospital Blood Bank,Karnataka,HASSAN,Hassan,Hospital Road,573201,08172 252330,,13.004537,76.103797
Jeeva Raksha Blood Bank,Karnataka,HASSAN,Hassan,"Vokkaligara Hostel Building, Ist Floor, B.M.Road",573201,08172 26204 ,,13.0032624,76.0975902
Manjunath Orthopaedic and Trauma Centre Hospital Blood Bank,Karnataka,HASSAN,Hassan,K. R. Puram,573201,08172 266124,,13.0080708,76.1016262
District Hospital Blood Bank Haveri,Karnataka,HAVERI,Haveri,,581110,0837 5232222,,14.785408,75.403059
HKES Blood Bank Organisation,Karnataka,KALABURAGI,Gulbarga,"M.R. Medical College, Basave shwara Teaching and General Hospital, No.7-52 Sadam Road",585105,"08472 220307, 08472  225085",,17.328385,76.844483
District Hospital Blood Bank,Karnataka,KALABURAGI,Gulbarga,Sedam Road,585102,08472 2240630,,17.328685,76.840743
Health Care Blood Bank,Karnataka,KALABURAGI,Gulbarga,"3-400/401 A, Ist Floor, Taj Complex, Gazipura",585104,08472 261886 ,,17.3353831,76.8361997
Khaja Banda Nawaz Teaching and General Hospital Blood Bank,Karnataka,KALABURAGI,Gulbarga,"Khaja Nagri, Station Main Road",585102,0847 2223458,,17.352728,76.853237
M/s. Vaatsalya Life Hospitals Navajeeva Blood Bank,Karnataka,KALABURAGI,Gulbarga,"Vaatsalya Life Hospital, 1st Floor, Near RTO Office, SH-10",585105,08472 240066,ravichavan851@gmail.com,17.328477,76.847911
M/s. Medicare Multispeciality Hospital Blood Bank,Karnataka,KALABURAGI,Gulbarga,"Badagu Health Services Private Limited, 1st Floor, Darga Road, Santraswadi",585101,08472 262524,vbagdgu@yahoo.com,17.337775,76.844343
District Hospital Blood Bank,Karnataka,KODAGU,Madikeri,General Thimayya Road,571201,08272 223445,,12.418764,75.742555
Sambrama Institute of Medical Sciences & Research Hospital Blood Bank,Karnataka,KOLAR,K. G. F.,"No:3029/1, D. K. Plantation BEML Nagar",563115,08153 263230,simskgf@gmail.com,12.996519,78.240449
General Hospital Robertson Peth Blood Bank,Karnataka,KOLAR,Kolar,Kolar Gold Field (K. G. F),563122,08253 271041,,12.953386,78.271285
S.N.R. District Hospital Blood Bank,Karnataka,KOLAR,Kolar,"Gowripete, Kolar",563101,08152 222035,,13.129255,78.13435
BEML Medical Centre Bharat Earth Movers Limited Blood Bank,Karnataka,KOLAR,Kolar,Kolar Gold Fields ,563115,08153 263208 ,,12.983949,78.237201
R. L. Jalappa Hospital and Research Centre Blood Bank,Karnataka,KOLAR,Kolar,"NH-4,Tamaka",563101,,,13.131674,78.173061
Gopi Blood Bank,Karnataka,KOPPAL,Koppal,"Gunj Area, C.B.S. Circle, Gangavthi ",583227,08533 272191 ,,15.4345687,76.5018267
Indian Red Cross Koppal District Branch Blood Bank,Karnataka,KOPPAL,Koppal,"1st Floor, New District Hospital, Hospital Road, Koppal ",580323,0853 9225088,,15.419164,76.138152
Adichunchanagiri Hospital and Research Centre Blood Bank,Karnataka,MANDYA,Mandya,"Balagangadharnath Nagar, Bellur",571418,08232 287433  ,,12.966319,76.721027
District Hospital Blood Bank Mandya,Karnataka,MANDYA,Mandya, District Hospital Premises,571401,0832 224040,,12.4279555,76.7010341
MDC Voluntary Blood Bank,Karnataka,MANDYA,Mandya,"Khatha No. D5/1045/187, Alahalli Extension, General Hospital Road, Nehrunagar",571401,08232 231665 ,,12.52027,76.899169
Vikarm Hospital Blood Bank,Karnataka,MANDYA,Mandya,"Vikarm Hospital, No.D5/271/219B and D5/272/1220, 3rd Cross, Ashoka Nagar",571401,08232 402121,,12.525089,76.8982
Holdsworth Memorial Mission Hospital Blood Bank,Karnataka,Mysore,Mysore,Mandimohalla,570021,0821 2521650  ,,12.316416,76.650574
Bassappa Memorial Hospital Blood Bank,Karnataka,Mysore,Mysore,"22/B, Vinoba Road, Jayalakshmipuram",570012,0821 2511671,,12.320811,76.62005
B. G. S. Apollo Hospital Blood Bank,Karnataka,Mysore,Mysore,"Kantharaj Urs Road, Kuvempunagar",570010,0821 2566666 ,,12.29573,76.632061
Vikram Hospital and Heart Centre Blood Bank,Karnataka,Mysore,Mysore,"346, Vivekananda Road, Yadavagiri",570020,0821 2412121,,12.32354,76.638119
Rotary Mysore Chandrakala Hospital Blood Bank,Karnataka,Mysore,Mysore,"Chandrakala Hospital and Institute of Medical Research, Plot &#39;A&#39;, Kalidasa Road, Jayalakshmipuram",570012,0821 4288638,,12.325868,76.619519
Jeevadhara Voluntary Blood Bank ,Karnataka,Mysore,Mysore,"Aunit of Cauvery Social Services Trust, No.1475, 2nd Floor and 3rd floor, New Sayaji RaoRoad, Mandi Mohalla",570010,0821 2444936,,12.315731,76.65103
Nuveen Medical Relief and research Foundation Blood Bank,Karnataka,Mysore,Mysore,"St.Joseph SH-17, 331/1, L176/2, Bannimantap",570015,0821 2496688,,12.3410708,76.6531589
Cauvery Hospital Blood Bank,Karnataka,Mysore,Mysore,"No.42/2B, 2C, Teresian College Circle, Siddarth Nagar",570011,0821 2425000,,12.30509,76.695813
Kamakshi Hospital Blood Bank,Karnataka,Mysore,Mysore,"1st Floor, New Building of Kamakshi Hospital Premises, Kuvempnagar Mysore",570009,0821 2545981  ,,12.299739,76.623762
Narayana Hrudayalaya - Surgical Hospital Private Limited Blood Bank,Karnataka,Mysore,Mysore," CAH-1, 3rd Phase, Devanur",570019,0821 7122222 (Extn. 2260),,12.345086,76.673031
J. S. S. Hospital Blood Bank,Karnataka,Mysore,Mysore,"J S S Hospital, Ramanuja Road",570004,0821 2335009,,12.29521,76.65607
K. R. Hospital Blood Bank,Karnataka,Mysore,Mysore,Sayyaji Rao Road,570010,0821 2429800,,12.313101,76.649573
Railway Hospital Blood Bank,Karnataka,Mysore,Yadavagiri,Yadavagiri,570020,0821 2517238,,12.325712,76.635623
Hutti Gold Hospital Blood Bank,Karnataka,RAICHUR,Hutti,"Hutti Gold Mines Limited, Raichur",584101,08532 275049,,16.196412,76.653027
Indian Medical Association Blood Bank,Karnataka,RAICHUR,Raichur,"3.9.58, Old Government  Hospital Compound, Beron Quilla",584101,08532 226608,,12.960041,77.57296
Navodaya Medical College Hospital and Research Centre Blood Bank,Karnataka,RAICHUR,Raichur,Mantralaya Road,584103,08532 223361 (Extn. 444),,16.184331,77.368042
