Id,Name,Address,Contact_no,Email_ID,Lattitude,Longitude
117,Smt. Anila Kantilal Kothari Blood Bank & Department of Hemato Oncology,"Dr. D. K. Gosavi Memorial, Shri Siddhivinayak Ganapati Cancer Hospital, Sangli - Miraj Road, Miraj,Sangli-416410,SANGLI,Maharashtra",918806842000,cancermiraj@gmail.com,16.833879,74.635364
118,Hindratna Prakashbapu Patil Blood Bank,"2nd Floor, Siddhivinayak Commercial Complex Guest House, Miraj Road, Near Tata Petrol Pump, Sangli
,Sangli-416416,SANGLI,Maharashtra",918139622508,hindratnabloodbank@gmail.com,16.8537,74.580099
119,Miraj Serological Institute Blood Bank,"S. No.795/A1, Dr. Bhalchandra Patil Hospital,  Zaribag Budhgaonkar Mala, Near Gulabrao Patil Medical College, Miraj 
,Sangli-416410,SANGLI,Maharashtra",918778313980,msibloodbank@gmail.com,16.828931,74.639399
120,Akshay Blood Bank,"Plot No. 1/7, Near Anand Nursing Home, 2nd Floor, Miraj Sangli Road,  Sangli,Sangli-416410,SANGLI,Maharashtra",918240880438,abbmiraj@gmail.com,16.838026,74.651827
121,Indian Red Cross Society Blood Bank - Shirgaonkar Blood Bank,"Opposite to Civil Hospital, Plot No. 49, City Survey No.601/7, Sangli,Sangli-416416,SANGLI,Maharashtra",917739241539,shirgaonkar_sangli@yahoo.co.in,16.853702,74.575077
122,Shree Basaveshwar Manav Vikas Gramin Sevabhavi Sanstha Blood Bank,"Arihant Galaxy, 1st Floor, C.S. NO- 1599, Opposite to Civil Hospital, Garpir Road, Sangli
,Sangli-416416,SANGLI,Maharashtra",919981096922,adarshbloodbank@gmail.com,16.842421,74.619929
123,Azad Panchi Group Charitable Trust Blood Bank,"Near Civil Hospital, Ganesh Nagar, 1st Lane, S. No. 1682, Sangli
,Sangli-416416,SANGLI,Maharashtra",918542993079,msibloodbank@gmail.com,16.844539,74.572891
124,S. S. Venutai Y. Chavan Sub-District Hospital Blood Bank Karad,"Plot No. 290/91, Budhwar Peth Station Road, Karad, Satara,Satara-415110,SATARA,Maharashtra",917439624759,mskarad@gmail.com,17.288048,74.186177
125,Civil Surgeon - Sarva Samanya Hospital Blood Bank,"Bazar Road, Satara,Satara-415001,SATARA,Maharashtra",918274354066,bbsknpsatara@gmail.com,17.691305,74.009424
126,Krishna Hospital and Medical Research Centre Blood Bank Karad,"Poona Bangalore (NH 4) Highway, Near Debhewadi Road, Karad, Satara,Satara-415110,SATARA,Maharashtra",918645150391,khbloodbank@yahoo.com,17.285065,74.185701
127,Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,"Shree Chatrapati Shivaji Education Societys, Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,  Vita Road, Vidyagiri, Mayani, Satatra,Satara-415102,SATARA,Maharashtra",918286271610,insrmyn05@rediffmail.com,17.431214,74.549364
128,M/s. Balaji Blood Bank,"M/s. MA. NA. Shri R.R. (AABA) Patil Shikshan Sheti Sanshodhan Aani Vikas Sansthas  Balaji Blood Bank, C.S.No - 467/8 A 1b/45, Jaldhara Building 2nd Floor, Sadar Bazar, Satara - 415002
,Satara-415002,SATARA,Maharashtra",917105618588,balajibbsatara@gmail.com,17.695093,74.010716
129,Akshay Blood Bank,"Akshay Medical Trust, Akshay Blood Bank, 506/22, Sadar Bazar, Near State Bank, Opposite to Nirmal Hotel, Satara,Satara-415002,SATARA,Maharashtra",917957944002,abbSatara@gmail.com,17.672028,74.021087
130,Mauli Blood Bank Satara,"529/b,  Parasnis Colony, Near Hotel Monark, Powai Naka Sadar Bazar, Satara ,Satara-415001,SATARA,Maharashtra",919755312256,maulibloodbank@gmail.com,17.686084,74.007955
131,Yashwantrao Chavan Blood Bank,"Phase 5, Super Market, 1st Floor Hall No. 2/1 Final Plot No. 432,433, Shaniwar Peth, Karad  ,Satara-415110,SATARA,Maharashtra",919212958572,ycbbkarad@gmail.com,17.275751,74.18181
132,Civil Surgeon - General Hospital Blood Bank,"Sindhudurg Oros, At Post - Oros, Kudal, Sindhudurga (Oros),Sindhudurga-416812,SINDHUDURG,Maharashtra",917619530628,orosbloodbank@gmail.com,16.12019,73.689563
133,"Cottage Hospital Blood Bank, Sawantwadi","Sub -District Cottage Hospital, Blood Bank, Sawantwadi, 
C-Sindhudurg,Sindhudurga-416510,SINDHUDURG,Maharashtra",919106941170,bloodbank.sdhsawantwadi@gmail.com,15.902781,73.823544
134,Dean Chatrapati Shivaji Maharaj Sarvopchar Hospital Blood Bank,"B-Block Ground Floor, Shri. Chatrapati Shivaji Maharaj Sarvopchar Hospital, Solapur, Maharashtra,Solapur-413003,SOLAPUR,Maharashtra",917361522356,"dr.g.a.pandit@gmail.com, bloodbanksolapur@gmail.com",17.659024,75.912826
135,"Dr. Hegdewar Rakta Pedhi Sanstha, Solapur","1st Floor, Sahyadri Shopping Centre Railway Lines, Solapur,Solapur-413001,SOLAPUR,Maharashtra",918841316114,hedgewar.raktapedhi@gmail.com,17.66391,75.900793
136,IMA - Sahakar Maharshi Shankarrao Mohite Patil Blood Bank,"804, Old Pandharpur Road, Ganeshnagar Akluj, Solapur,Solapur-413101,SOLAPUR,Maharashtra",918510026857,imabloodbank136@rediffmail.com,17.660169,75.906401
137,M. M. Patel Public Charitable Trust - Ashwini Rural Medical College and Hospital Blood Bank,"Kumbhari, Gat No. 261 and 262 , Akkalkot Road, Kumbhari, 
Tal.South Solapur. Dist. Solapur ,Solapur-413006,SOLAPUR,Maharashtra",919646347967,armchbb@gmail.com,17.644778,75.986234
138,Athar Minorities Social and Welfare Associations - Athar Blood Bank,"1st Floor, 410 Shukrawar Peth, Jamiya Complex, Near Jama Masjid, Solapur,Solapur-413002,SOLAPUR,Maharashtra",919119841669,"atharbloodbank@ymail.com,",17.676725,75.910238
139,Indian Red Cross Society - Smt. Gopabai Damani Blood Bank,"165 Railway Line, Red Cross Road, Dufferin Chowk, Solapur ,Solapur-413001,SOLAPUR,Maharashtra",918766539917,gopabaidamani@gmail.com,17.660077,75.906391
140,Indian Red Cross Society - Sarjubai Bansila Bajaj Blood Bank,"62/2/3/4, Bhakti Marg, Pandharpur, Solapur,Solapur-413304,SOLAPUR,Maharashtra",919575442316,bajajbloodbank@gmail.com,17.562936,75.265589
141,SIDDHESHWAR BLOOD BANK,"Kalyani Towers, 126 Siddheshwar Peth, Near Yashwantrao Hospital Behind civil court, Solapur ,Solapur-413003,SOLAPUR,Maharashtra",917223124218,siddheswarbloodbank@gmail.com,17.672075,75.904841
142,Tarapur Atomic Power Station Hospital Blood Bank,"TAPS Hospital Blood Bank, TAPS 1&2 (Anushri) Township Near Boisar, Palghar ,Palghar-401504,THANE,Maharashtra",918349579450,rmwankhede@npcil.co.in,19.813093,72.743519
143,Lokmanya TSSIA Blood Bank Thane,"Tssia House, Road No. P 26/T, Road-16, Next to Thane Janata Sahakari Bank, Behind the Petrol Pump, Wagle Estate, Thane (W),Thane-400604,THANE,Maharashtra",918126871878,sunilmundhe7@gmail.com,19.191526,72.95169
144,"District - Civil Surgeon, General Hospital Blood Bank Wardha","New Building, OPD 1st Floor General Hospital, Dr. Ambedkar Road, Near Jilha Parisad, Wardha,Wardha-442001,WARDHA,Maharashtra",919717880092,cswardha@rediffmail.com,20.737833,78.603162
145,Kasturba Health Society Blood Bank,"Sevagram, Department of Pathology, MGIMS and Kasturba Hospital,  Sevagram, Wardha,Wardha-442102,WARDHA,Maharashtra",919673168565,bloodbank@mgims.ac.in,20.739287,78.660927
146,Jawaharlal Nehru Medical College Blood Bank,"Savangi (Meghe), Paloti Road, Wardha,Wardha-442004,WARDHA,Maharashtra",919917265585,jnmcbloodbank@rediffmail.com,20.715824,78.575564
147,"Civil Surgeon, General Hospital Blood Bank Washim","General Hospital Blood Bank, Near Akola Naka,  Washim ,Washim-444505,WASHIM,Maharashtra",917562982975,bb328@rediffmail.com,20.12259,77.127893
148,Sau Kantadevi Dale Blood Bank,"Maa Ganga Memorial Baheti Hospital, Akola Naka, Washim ,Washim-444505,WASHIM,Maharashtra",917984587386,dr.narayandale@gmail.com,20.105396,77.143122
149,Shri Vasantrao Naik Blood Bank ,"Government Medical College and Hospital, Yavatmal,Yavatmal-445001,YAVATMAL,Maharashtra",918562312216,"deanvngmc@rediffmail.com, bloodbankvngmc@gmail.com",20.39524,78.118668
150,Satyashanti Blood Bank,"2nd Floor, Satyashanti Hospital, Opposite to Bus Stand, Pusad,Yavatmal-445204,YAVATMAL,Maharashtra",918572887427,satyashanti@rediffmail.com,19.910776,77.569957
151,Aishwarya Blood Bank,"Survey No.3/2, Godhani Road, Gurunanak Nagar, Near Amolakshand College, Mouza, Umarsara, Yavatmal,Yavatmal-445001,YAVATMAL,Maharashtra",919370189809,bhongade@nagpur.dot.net.in ,20.389322,78.118544
152,Ekneel Blood Bank,"Near City Centre, Datta Chowk,Yavatmal-445001,YAVATMAL,Maharashtra",917895028639,ekneelbloodbank@rediffmail.com,20.389322,78.118544
